id,name,description,type,industry_id,deleted_at,created_at,updated_at
1,Beauty Pageant,.,star,1,,,
2,Music Production,Musical producer,star,2,,,
3,Musical Composition,composition,star,2,,,
4,Musician,Musician,star,2,,,
5,Dancing,Dancer,star,2,,,
6,Singer,Singer,star,2,,,
7,Radio,.,star,3,,,
8,Acting,.,star,3,,,
9,Filmmaking,"Include story, idea, or commission, through screenwriting, casting, shooting, sound recording and reproduction, editing and screening",star,3,,,
10,Events & Promotions,events,star,3,,,
11,Speaker,"Politic speaker, public speaker",star,3,,,
12,Photography,.,star,3,,,
13,Athletes & Coaches,"Coaching, mentoring, etc.",star,4,,,
14,Games & Video Games,.,star,4,,,
15,Tourism & Travel,"Tourism, Travel, Outdoor, recreation, outdoor activities",star,4,,,
16,Fisical Activities,Athletes,star,4,,,
17,Writing,"Writer, poet, novelist, ",star,5,,,
18,Performing Arts,"Theatre, music, dance, and other kinds of performances",star,5,,,
19,Sculpture,Sculptor,star,5,,,
20,Developer,Developer ,star,8,,,
21,Cosmetology,.,star,1,,,
22,Design & Manufacturing,.,star,1,,,
23,Modeling,.,star,1,,,
24,Fashion Coordinator,Fashion coordinator.,star,1,,,
25,Fisical Workout,Athletes,star,4,,,
26,Drawing & Painting,"Paint, muralist, drafter, draftman, painter,sketch, sketcher, ",star,5,,,
27,Architecture,Architect,star,5,,,
28,Digital Art,"Animator, visual effects, graphic design",star,5,,,
29,Culinary Art,"Chef, cook, sous chef, saucier, boucher, Poissoner ",star,6,,,
30,Bar,"Barman, barmaid, bartender",star,6,,,
31,Professor,(Click here to view options),star,7,,,
32,Student,(Click here to view options),star,7,,,
33,Beauty,Pegeant,company,1,,,
34,Cosmetics,"Fragance, Creams and more",company,1,,,
35,Fashion industry,.,company,1,,,
36,Modeling Industry,.,company,1,,,
37,Record studio,.,company,9,,,
38,Dance,.,company,9,,,
39,Radio Stations,.,company,10,,,
40,T.V. Stations,.,company,10,,,
41,Photography studio,.,company,10,,,
42,Music,.,company,9,,,
43,Sports club,.,company,11,,,
44,Games & Bets,.,company,11,,,
45,Fitness Centre,.,company,11,,,
46,Tourism,.,company,11,,,
47,Publishing Company,.,company,5,,,
48,Theatre,.,company,5,,,
49,Art ,.,company,5,,,
50,Museum,.,company,5,,,
51,Architecture & Construction,.,company,5,,,
52,Restaurant,.,company,6,,,
53,Bar,.,company,6,,,
54,Winery,.,company,6,,,
55,Brewery,.,company,6,,,
56,Food Supply,.,company,6,,,
57,Institute,.,company,7,,,
58,Schools,.,company,7,,,
59,University,.,company,7,,,
60,Entrepreneurship ,.,company,12,,,
61,Finances,.,company,12,,,
62,Sales,.,company,12,,,
63,Business,.,star,8,,,
64,Newspaper,.,company,10,,,
65,Journalism,.,star,3,,,
66,Cinema Industry,.,company,10,,,
67,Record label,.,company,9,,,
68,Sport Team,.,company,11,,,
69,Events & Promotions,.,company,9,,,
70,IT & Software,.,star,8,,,
