id,value,feature_id,deleted_at,created_at,updated_at
1,Over 90kg/198Lb,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
2,90-86kg/198-189Lb,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
3,85-82kg/188-181Lb,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
4,81-78kg/180-171Lb,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
5,77-74kg/170-163Lb,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
6,73-70kg/162-154Lb,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
7,69-66kg/153-145Lb,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
8,65-62kg/144-137Lb,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
9,59-56kg/136-123Lb,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
10,55-52kg/122-114Lb,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
11,51-49kg/113-108Lb,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
12,48-45kg/107-99Lb,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
13,44-41kg/98-90Lb,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
14,40-37kg/89-81Lb,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
15,36-33kg/80-73Lb,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
16,Under 33kg,7,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
17,Black,1,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
18,Blue,1,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
19,Brown,1,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
20,Dark Brown,1,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
21,Green,1,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
22,Grey,1,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
23,Black,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
24,Brown,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
25,Blonde,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
26,Auburn,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
27,Almond,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
28,White,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
29,Red,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
30,Dark Blonde Brown,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
31,Light Brown,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
32,Jet Black,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
33,Grey,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
34,Chocolate Brown,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
35,Light Golden Brown,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
36,Medium Ash Brown,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
37,Light Blonde,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
38,Light Golden Blonde,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
39,Light Auburn,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
40,Medium Auburn,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
41,Medium Champagne,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
42,Strawberry Blonde,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
43,None (Bald),2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
44,Other,2,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
45,Light or Porcelain,3,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
46,Dark Chocolate,3,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
47,Chocolate Brown,3,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
48,Tan or Golden,3,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
49,Honey,3,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
50,210cm/6.9ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
51,209cm/6.85ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
52,208cm/6.82ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
53,207cm/6.79ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
54,206cm/6.75ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
55,205cm/6.72ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
56,204cm/6.69ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
57,203cm/6.66ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
58,202cm/6.63ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
59,201cm/6.6ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
60,200cm/6.56ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
61,199cm/6.53ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
62,198cm/6.5ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
63,197cm/6.46ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
64,196cm/6.43ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
65,195cm/6.4ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
66,194cm/6.36ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
67,193cm/6.33ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
68,192cm/6.3ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
69,191cm/6.26ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
70,190cm/6.23ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
71,189cm/6.2ft,4,,2019-05-15 22:09:28.0,2019-05-15 22:09:28.0
