feature_id,module_id,label,gender,help_tip,is_required,is_range_bar,field,config_type,place_type,order_no,allow_custom,status,created_at,updated_at
2,2,"{""en"": ""Eye Color"", ""es"": "" Color de Ojos""}",0,"{""en"": """", ""es"": """"}",0,0,2,4,0,4,0,0,2017-09-09 13:10:40.0,2018-04-19 20:07:45.0
3,2,"{""en"": ""Hair Color"", ""es"": ""Color de Cabello""}",0,"{""en"": """", ""es"": """"}",0,0,2,2,0,5,0,0,2017-09-09 13:11:40.0,2018-04-19 20:07:29.0
5,2,"{""en"": ""Skin Tone"", ""es"": ""Tono de Piel""}",0,"{""en"": """", ""es"": """"}",0,0,2,11,0,3,0,0,2017-09-10 15:55:48.0,2018-04-19 20:07:09.0
6,2,"{""en"": ""Height"", ""es"": ""Altura""}",0,"{""en"": """", ""es"": """"}",0,0,2,1,0,1,0,0,2017-09-10 15:59:59.0,2018-04-12 15:07:07.0
14,6,"{""en"": ""Blouse"", ""es"": ""Blusa""}",2,"{""en"": """", ""es"": """"}",0,0,2,7,0,0,0,0,2017-10-11 18:13:57.0,2018-06-11 19:29:40.0
15,6,"{""en"": ""Shoes"", ""es"": ""Zapatos""}",2,"{""en"": """", ""es"": """"}",0,0,2,12,0,0,0,0,2017-10-11 18:16:26.0,2017-12-08 19:08:02.0
39,2,"{""en"": ""Weight"", ""es"": ""Peso""}",0,"{""en"": """", ""es"": """"}",0,0,2,0,0,2,0,0,2017-12-03 19:09:42.0,2017-12-13 14:18:26.0
40,8,"{""en"": ""Chest"", ""es"": ""Torso""}",1,"{""en"": """", ""es"": """"}",0,0,2,0,0,1,0,0,2017-12-03 21:42:46.0,2017-12-08 18:56:42.0
41,8,"{""en"": ""Waist"", ""es"": ""Cintura""}",0,"{""en"": """", ""es"": """"}",0,0,2,0,0,3,0,0,2017-12-03 22:44:08.0,2017-12-08 18:56:42.0
42,8,"{""en"": ""Hips"", ""es"": ""Caderas""}",0,"{""en"": """", ""es"": """"}",0,0,2,0,0,4,0,0,2017-12-05 12:09:26.0,2017-12-08 18:56:42.0
43,9,"{""en"": ""Jacket"", ""es"": ""Chaqueta""}",1,"{""en"": """", ""es"": """"}",0,0,2,0,0,0,0,0,2017-12-08 16:48:48.0,2017-12-08 16:51:21.0
44,9,"{""en"": ""Trousers"", ""es"": ""Pantalón""}",1,"{""en"": """", ""es"": """"}",0,0,2,0,0,0,0,0,2017-12-08 16:54:33.0,2018-04-25 17:59:12.0
45,9,"{""en"": ""Collar"", ""es"": ""Cuello""}",1,"{""en"": """", ""es"": """"}",0,0,2,0,0,0,0,0,2017-12-08 16:55:10.0,2017-12-08 17:01:37.0
