fields_id,feature_id,fields_value,created_at,updated_at
8,17,"{""en"": ""Fashion"", ""ru"": ""Fashion""}",2017-10-11 18:31:17.0,2017-10-11 18:31:17.0
9,17,"{""en"": ""High fashion"", ""ru"": ""High fashion""}",2017-10-11 18:31:17.0,2017-10-11 18:31:17.0
10,17,"{""en"": ""Body parts"", ""ru"": ""Body parts""}",2017-10-11 18:31:17.0,2017-10-11 18:31:17.0
11,17,"{""en"": ""Real life people"", ""ru"": ""Real life people""}",2017-10-11 18:31:17.0,2017-10-11 18:31:17.0
12,17,"{""en"": ""Plus sized"", ""ru"": ""Plus sized""}",2017-10-11 18:31:17.0,2017-10-11 18:31:17.0
13,17,"{""en"": "" Senior"", ""ru"": "" Senior""}",2017-10-11 18:31:17.0,2017-10-11 18:31:17.0
14,18,"{""en"": "" Senior"", ""ru"": ""senior""}",2017-10-11 18:32:56.0,2017-10-11 18:32:56.0
15,25,"{""en"": ""1"", ""ru"": ""1""}",2017-10-12 11:32:44.0,2017-10-12 11:32:44.0
16,26,"{""en"": ""1"", ""ru"": ""1""}",2017-10-12 15:06:19.0,2017-10-12 15:06:19.0
17,28,"{""en"": ""test checkbox"", ""ru"": ""test checkbox""}",2017-10-12 15:09:27.0,2017-10-12 15:09:27.0
18,30,"{""en"": ""test radio"", ""ru"": ""fadfasd""}",2017-10-12 15:10:19.0,2017-10-12 15:10:19.0
19,36,"{""en"": ""1"", ""ru"": ""1""}",2017-10-12 15:20:46.0,2017-10-12 15:20:46.0
54,39,"{""en"": ""Over 90kg/198Lb"", ""es"": ""90kg/198Lb o más""}",2017-12-03 19:09:42.0,2018-09-10 16:13:03.0
55,39,"{""en"": ""90-86kg/198-189Lb"", ""es"": ""90-86kg/198-189Lb""}",2017-12-03 19:09:42.0,2017-12-03 20:01:34.0
56,39,"{""en"": ""85-82kg/188-181Lb"", ""es"": ""85-82kg/188-181Lb""}",2017-12-03 20:01:33.0,2017-12-03 20:01:33.0
57,39,"{""en"": ""81-78kg/180-171Lb"", ""es"": ""81-78kg/180-171Lb""}",2017-12-03 20:01:33.0,2017-12-03 20:01:33.0
58,39,"{""en"": ""77-74kg/170-163Lb"", ""es"": ""77-74kg/170-163Lb""}",2017-12-03 20:01:33.0,2017-12-03 20:01:33.0
59,39,"{""en"": ""73-70kg/162-154Lb"", ""es"": ""73-70kg/162-154Lb""}",2017-12-03 20:01:33.0,2017-12-03 20:01:33.0
60,39,"{""en"": ""69-66kg/153-145Lb"", ""es"": ""69-66kg/153-145Lb""}",2017-12-03 20:01:33.0,2017-12-03 20:01:33.0
61,39,"{""en"": ""65-62kg/144-137Lb"", ""es"": ""65-62kg/144-137Lb""}",2017-12-03 20:01:33.0,2017-12-03 20:01:33.0
62,39,"{""en"": ""59-56kg/136-123Lb"", ""es"": ""59-56kg/136-123Lb""}",2017-12-03 20:01:33.0,2017-12-03 20:01:33.0
63,39,"{""en"": ""55-52kg/122-114Lb"", ""es"": ""55-52kg/122-114Lb""}",2017-12-03 20:01:34.0,2017-12-03 20:01:34.0
64,39,"{""en"": ""51-49kg/113-108Lb"", ""es"": ""51-49kg/113-108Lb""}",2017-12-03 20:01:34.0,2017-12-03 20:01:34.0
65,39,"{""en"": ""48-45kg/107-99Lb"", ""es"": ""48-45kg/107-99Lb""}",2017-12-03 20:01:34.0,2017-12-03 20:01:34.0
66,39,"{""en"": ""44-41kg/98-90Lb"", ""es"": ""44-41kg/98-90Lb""}",2017-12-03 20:01:34.0,2017-12-03 20:01:34.0
67,39,"{""en"": ""40-37kg/89-81Lb"", ""es"": ""40-37kg/89-81Lb""}",2017-12-03 20:01:34.0,2017-12-03 20:01:34.0
68,39,"{""en"": ""36-33kg/80-73Lb"", ""es"": ""36-33kg/80-73Lb""}",2017-12-03 20:01:34.0,2017-12-03 20:01:34.0
69,39,"{""en"": ""Under 33kg"", ""es"": ""Menos de 33kg/73Lb""}",2017-12-03 20:01:34.0,2018-09-10 16:13:04.0
70,2,"{""en"": ""Black"", ""es"": ""Negro""}",2017-12-03 20:14:09.0,2017-12-13 13:06:35.0
71,2,"{""en"": ""Blue"", ""es"": ""Azul""}",2017-12-03 20:15:20.0,2017-12-13 13:06:35.0
72,2,"{""en"": ""Brown"", ""es"": ""Castaño""}",2017-12-03 20:16:40.0,2017-12-13 13:06:35.0
73,2,"{""en"": ""Dark Brown"", ""es"": ""Castaño oscuro""}",2017-12-03 20:16:40.0,2017-12-13 13:44:07.0
74,2,"{""en"": ""Green"", ""es"": ""Verde""}",2017-12-03 20:16:40.0,2017-12-13 13:44:07.0
75,2,"{""en"": ""Grey"", ""es"": ""Gris""}",2017-12-03 20:16:40.0,2017-12-13 13:44:07.0
76,3,"{""en"": ""Black"", ""es"": ""Negro""}",2017-12-03 20:20:06.0,2017-12-13 13:10:49.0
77,3,"{""en"": ""Brown"", ""es"": ""Castaño""}",2017-12-03 20:24:49.0,2017-12-13 13:10:49.0
78,3,"{""en"": ""Blonde"", ""es"": ""Rubio""}",2017-12-03 20:24:49.0,2017-12-13 13:10:49.0
79,3,"{""en"": ""Auburn"", ""es"": ""Castaño Rojizo""}",2017-12-03 20:24:49.0,2018-04-19 20:12:23.0
