fields_cust_id,feature_id,user_id,fields_value,lang_id,created_at,updated_at
82,56,14461,Mambo,3,2018-05-16 12:56:46.0,2018-05-16 12:56:46.0
104,56,15343,Salsa,3,2018-05-26 02:08:06.0,2018-05-26 02:08:06.0
125,305,15839,Pharmacy Technician,1,2018-08-11 05:50:17.0,2018-08-11 05:50:17.0
134,199,15887,Romance/Accion,3,2018-10-23 14:37:18.0,2018-10-23 14:37:18.0
136,504,15949,dramatico,3,2018-11-15 17:52:50.0,2018-11-15 17:52:50.0
137,504,15949,romance,3,2018-11-15 17:53:20.0,2018-11-15 17:53:20.0
139,212,15966,Camara nikon reflex,3,2018-11-21 03:05:07.0,2018-11-21 03:05:07.0
144,302,15987,Web development,1,2018-12-11 15:38:41.0,2018-12-11 15:38:41.0
145,302,15987,Games programming with c# and unity,1,2018-12-11 15:38:56.0,2018-12-11 15:38:56.0
146,302,15987,Games programming with scratch,1,2018-12-11 15:39:03.0,2018-12-11 15:39:03.0
147,302,15987,Augmented reality with unity and vuforia,1,2018-12-11 15:39:42.0,2018-12-11 15:39:42.0
148,302,15987,Augmented reality with EON studio,1,2018-12-11 15:39:52.0,2018-12-11 15:39:52.0
151,311,15987,IOS,1,2018-12-11 15:40:37.0,2018-12-11 15:40:37.0
153,311,15987,PC,1,2018-12-11 15:40:41.0,2018-12-11 15:40:41.0
154,199,15996,Cortometraje,3,2018-12-18 21:56:47.0,2018-12-18 21:56:47.0
155,199,16001,Cinematografico,3,2018-12-23 01:14:12.0,2018-12-23 01:14:12.0
156,199,16001,Cinematografico,3,2018-12-23 01:14:14.0,2018-12-23 01:14:14.0
157,199,16001,teatra,3,2018-12-23 01:14:26.0,2018-12-23 01:14:26.0
164,292,16114,el mejor,3,2019-02-05 17:14:45.0,2019-02-05 17:14:45.0
177,504,16154,Todos,3,2019-02-26 20:14:03.0,2019-02-26 20:14:03.0
182,199,16304,Romántico,3,2019-03-02 19:23:29.0,2019-03-02 19:23:29.0
189,504,16443,Drama y policiales,3,2019-03-05 13:44:52.0,2019-03-05 13:44:52.0
208,56,16705,balada,3,2019-03-13 16:53:14.0,2019-03-13 16:53:14.0
210,504,11080,Suspenso,3,2019-03-14 00:15:39.0,2019-03-14 00:15:39.0
211,519,11080,Adobe Audition,3,2019-03-14 00:19:46.0,2019-03-14 00:19:46.0
221,199,16974,Bailarina,3,2019-03-24 00:53:03.0,2019-03-24 00:53:03.0
240,56,17254,Baladas,3,2019-04-04 04:38:16.0,2019-04-04 04:38:16.0
243,305,17302,Administración de empresas,3,2019-04-06 05:08:36.0,2019-04-06 05:08:36.0
244,305,17302,Modelaje,3,2019-04-06 05:08:53.0,2019-04-06 05:08:53.0
246,56,17304,Hip hop,3,2019-04-06 07:27:18.0,2019-04-06 07:27:18.0
249,172,17322,Conga,3,2019-04-06 21:54:09.0,2019-04-06 21:54:09.0
254,504,17432,drama,3,2019-04-11 15:05:58.0,2019-04-11 15:05:58.0
257,56,17480,reggaeton,3,2019-04-13 15:19:59.0,2019-04-13 15:19:59.0
258,56,17480,balada,3,2019-04-13 15:20:05.0,2019-04-13 15:20:05.0
265,256,17573,Sentadillas con pesas,3,2019-04-17 11:58:01.0,2019-04-17 11:58:01.0
274,518,17831,Samplitude,3,2019-04-27 18:28:59.0,2019-04-27 18:28:59.0
275,518,17831,El studio,3,2019-04-27 18:39:30.0,2019-04-27 18:39:30.0
276,518,17831,Fl studio,3,2019-04-27 18:39:43.0,2019-04-27 18:39:43.0
277,518,17831,Reaper,3,2019-04-27 18:40:19.0,2019-04-27 18:40:19.0
278,152,17831,Fl studio,3,2019-04-27 18:40:45.0,2019-04-27 18:40:45.0
279,152,17831,Samplitude,3,2019-04-27 18:41:09.0,2019-04-27 18:41:09.0
280,56,17838,Hip-hop/rap,3,2019-04-28 02:09:14.0,2019-04-28 02:09:14.0
281,56,17848,"Balada pop y balada, salsa merengue",3,2019-04-28 13:33:51.0,2019-04-28 13:33:51.0
282,56,17848,"Balada pop y balada, salsa merengue",3,2019-04-28 13:33:52.0,2019-04-28 13:33:52.0
283,56,17930,Romantico,3,2019-05-01 22:08:58.0,2019-05-01 22:08:58.0
284,56,17940,Edm,3,2019-05-02 05:35:32.0,2019-05-02 05:35:32.0
285,56,17940,Big room house,3,2019-05-02 05:35:57.0,2019-05-02 05:35:57.0
286,56,17941,Rnb soul,3,2019-05-02 06:21:44.0,2019-05-02 06:21:44.0
287,56,17941,Trapeton,3,2019-05-02 06:22:03.0,2019-05-02 06:22:03.0
288,56,17956,Musica Urbana,3,2019-05-03 03:17:32.0,2019-05-03 03:17:32.0
289,56,17956,Musica Urbana,3,2019-05-03 03:17:55.0,2019-05-03 03:17:55.0
290,56,17956,Música romántica,3,2019-05-03 03:18:48.0,2019-05-03 03:18:48.0
291,56,17999,Trap dancehall raegueton,3,2019-05-04 22:16:44.0,2019-05-04 22:16:44.0
292,152,18022,Ninguno,3,2019-05-05 21:59:57.0,2019-05-05 21:59:57.0
293,56,18027,Pop rop,3,2019-05-06 01:38:55.0,2019-05-06 01:38:55.0
294,56,18058,"Dembow, trampa, reggaetón, dancehall, rap",3,2019-05-07 10:53:47.0,2019-05-07 10:53:47.0
