module_id,title,sub_title,linked_type,order_no,status,created_at,updated_at
2,"{""en"": ""Basic Description"", ""es"": ""Descripción Básica""}","{""en"": ""."", ""es"": "".""}",3,3,1,2017-09-09 13:05:37.0,2018-09-18 19:50:18.0
6,"{""en"": ""Sizes"", ""es"": ""Tallas""}","{""en"": ""Female sizes"", ""es"": ""Tallas femeninas""}",3,4,1,2017-10-11 15:47:27.0,2018-09-18 19:52:10.0
8,"{""en"": ""Physique"", ""es"": ""Contextura Física""}","{""en"": ""Select the correct measurement"", ""es"": ""Seleccione la medida correcta""}",3,5,1,2017-12-03 19:01:55.0,2018-09-27 19:39:07.0
9,"{""en"": ""Costume sizes"", ""es"": ""Tallas de vestuario""}","{""en"": ""Male sizes"", ""es"": ""Tallas masculinas""}",3,228,1,2017-12-08 16:45:57.0,2018-09-27 19:39:11.0
10,"{""en"": ""Modeling types & Specialities"", ""es"": ""Tipos y Especialidades de modelaje""}","{""en"": ""Select one or more option"", ""es"": ""Selecciona una o más opción""}",3,229,1,2017-12-08 19:41:36.0,2018-09-27 19:39:11.0
11,"{""en"": ""Vocal Characteristics"", ""es"": ""Características Vocales""}","{""en"": ""."", ""es"": "".""}",3,230,1,2018-01-14 21:30:37.0,2018-09-27 19:39:11.0
12,"{""en"": ""Additional Information"", ""es"": ""Información Adicional""}","{""en"": ""."", ""es"": "".""}",3,234,1,2018-01-18 20:37:10.0,2018-09-27 19:39:11.0
13,"{""en"": ""Unique Traits"", ""es"": ""Rasgos Únicos""}","{""en"": ""."", ""es"": "".""}",3,231,1,2018-02-01 19:39:44.0,2020-11-10 18:55:27.0
14,"{""en"": ""Aerial Photography Information"", ""es"": ""Información de Fotografía Aérea""}","{""en"": ""."", ""es"": "".""}",3,232,1,2018-02-01 20:18:46.0,2020-11-10 18:55:26.0
15,"{""en"": ""Musical Details"", ""es"": ""Detalles Musicales""}","{""en"": ""."", ""es"": "".""}",3,227,1,2018-03-14 14:23:39.0,2020-11-10 18:56:31.0
16,"{""en"": ""Artistic Information"", ""es"": ""Información Artística""}","{""en"": ""."", ""es"": "".""}",3,1,1,2018-04-11 19:22:06.0,2020-11-10 18:56:50.0
17,"{""en"": ""Events Photography"", ""es"": ""Fotografía de Eventos""}","{""en"": ""."", ""es"": "".""}",3,225,1,2018-04-11 20:37:44.0,2020-11-10 18:58:31.0
18,"{""en"": ""Additional Information"", ""es"": ""Información Adicional""}","{""en"": ""Business, Company"", ""es"": ""Compañía, Negocios""}",3,235,1,2018-04-11 20:42:04.0,2020-11-10 18:58:34.0
19,"{""en"": ""Architectural Photography"", ""es"": ""Fotografía Arquitectónica""}","{""en"": ""."", ""es"": "".""}",3,224,1,2018-04-20 15:28:15.0,2020-11-10 19:02:04.0
20,"{""en"": ""Filmmaking Experience"", ""es"": ""Experiencia Cinematográfica""}","{""en"": ""."", ""es"": "".""}",3,7,1,2018-04-20 18:49:37.0,2020-11-10 19:02:34.0
21,"{""en"": ""Flexibility Exercises"", ""es"": ""Ejercicios de Flexibilidad""}","{""en"": ""Yoga"", ""es"": ""Yoga""}",3,10,1,2018-04-25 20:25:20.0,2020-11-10 19:02:42.0
22,"{""en"": ""Pageant Coach Information"", ""es"": ""Información de Entrenador de Desfiles""}","{""en"": ""."", ""es"": "".""}",3,11,1,2018-06-08 19:26:49.0,2020-11-10 19:04:09.0
23,"{""en"": ""Representatives Information"", ""es"": ""Información de Representantes""}","{""en"": ""."", ""es"": "".""}",3,223,1,2018-06-11 18:39:01.0,2020-11-10 19:11:05.0
24,"{""en"": ""Hairdressing Information"", ""es"": ""Información de Peluquería""}","{""en"": ""."", ""es"": "".""}",3,12,1,2018-06-11 19:50:58.0,2020-11-10 19:12:33.0
25,"{""en"": ""Barber Information"", ""es"": ""Información de Barbería""}","{""en"": ""Barber Information "", ""es"": ""Información de Barbero""}",3,13,1,2018-06-11 20:02:14.0,2020-11-10 19:13:45.0
26,"{""en"": ""Wig Information"", ""es"": ""Información de Pelucas""}","{""en"": ""."", ""es"": "".""}",3,14,0,2018-06-11 20:16:17.0,2020-11-13 17:28:30.0
27,"{""en"": ""Aestheticism Information"", ""es"": ""Información de Esteticismo""}","{""en"": ""."", ""es"": "".""}",3,15,0,2018-06-11 20:31:20.0,2020-11-13 17:30:32.0
28,"{""en"": ""Hair Coloring Information"", ""es"": ""Información de Tintado de Pelo""}","{""en"": ""."", ""es"": "".""}",3,16,0,2018-06-11 20:45:39.0,2020-11-13 17:32:29.0
29,"{""en"": ""Makeup Information"", ""es"": ""Información de Maquillaje""}","{""en"": ""Makeup artist information "", ""es"": ""Información de Maquillista""}",3,17,1,2018-06-11 21:02:11.0,2020-11-10 19:30:43.0
30,"{""en"": ""Manicure/Pedicure Information"", ""es"": ""Información de Manicura/Pedicura""}","{""en"": ""."", ""es"": "".""}",3,18,0,2018-06-11 21:19:05.0,2020-11-13 17:54:01.0
31,"{""en"": ""Hair Removal Information"", ""es"": ""Información de Depilación""}","{""en"": ""."", ""es"": "".""}",3,19,1,2018-06-11 21:31:36.0,2020-11-10 19:35:59.0
32,"{""en"": ""Tattoos Information"", ""es"": ""Información de Tatuajes""}","{""en"": ""."", ""es"": "".""}",3,20,1,2018-06-11 21:39:09.0,2020-11-10 19:38:01.0
33,"{""en"": ""Accessory Design Information"", ""es"": ""Información de Diseño de Accesorios""}","{""en"": ""."", ""es"": "".""}",3,21,1,2018-06-11 23:00:00.0,2018-09-27 19:39:07.0
34,"{""en"": ""Fashion Design Information"", ""es"": ""Información Diseño de Moda""}","{""en"": ""Fashion designer information "", ""es"": ""Información de Diseñador de moda""}",3,22,1,2018-06-12 16:58:17.0,2020-11-10 19:40:07.0
35,"{""en"": ""Jewelry Design Information"", ""es"": ""Información de Diseño de Joyas""}","{""en"": ""."", ""es"": "".""}",3,23,1,2018-06-12 17:05:51.0,2020-11-10 19:41:47.0
36,"{""en"": ""Fragrance Information"", ""es"": ""Información de Fragancias""}","{""en"": ""."", ""es"": "".""}",3,24,1,2018-06-12 17:13:22.0,2020-11-10 19:42:27.0
37,"{""en"": ""Seamstress Information"", ""es"": ""Información de Costurero""}","{""en"": ""."", ""es"": "".""}",3,25,1,2018-06-12 17:19:00.0,2020-11-10 19:45:32.0
38,"{""en"": ""Personal Styling"", ""es"": ""Estilismo Personal""}","{""en"": ""."", ""es"": "".""}",3,26,1,2018-06-12 17:29:49.0,2020-11-10 19:46:54.0
39,"{""en"": ""Minor Events"", ""es"": ""Eventos Menores""}","{""en"": ""."", ""es"": "".""}",3,27,0,2018-06-12 17:35:27.0,2020-11-16 12:22:15.0
40,"{""en"": ""Product Styling"", ""es"": ""Estilismo de Producto""}","{""en"": ""."", ""es"": "".""}",3,28,0,2018-06-12 17:41:59.0,2020-11-16 12:22:26.0
41,"{""en"": ""Styling Information"", ""es"": ""Información de Estilismo""}","{""en"": ""."", ""es"": "".""}",3,29,1,2018-06-12 18:35:22.0,2020-11-10 19:50:30.0
42,"{""en"": ""Catalog Styling"", ""es"": ""Estilismo de Catálogo""}","{""en"": ""."", ""es"": "".""}",3,30,1,2018-06-12 18:58:42.0,2020-11-10 19:51:56.0
43,"{""en"": ""Visual Styling"", ""es"": ""Estilismo Visual""}","{""en"": ""."", ""es"": "".""}",3,31,1,2018-06-12 19:08:28.0,2020-11-10 20:12:34.0
44,"{""en"": ""empty"", ""es"": ""vacio""}","{""en"": ""Photoshoot coordinator information"", ""es"": ""Información de Coordinador de sesiones fotográficas""}",3,2,0,2018-06-12 19:14:34.0,2018-10-12 16:20:18.0
45,"{""en"": ""Museum of Commerce & Communications"", ""es"": ""Museo de Comercio y Comunicaciones""}","{""en"": ""."", ""es"": "".""}",3,32,1,2018-06-12 19:25:38.0,2020-11-10 20:13:27.0
46,"{""en"": ""Choreography Information"", ""es"": ""Información de Coreografía""}","{""en"": ""."", ""es"": "".""}",3,33,1,2018-06-12 19:33:45.0,2020-11-10 20:14:40.0
47,"{""en"": ""Sound Production Information"", ""es"": ""Información de Producción de Sonido""}","{""en"": ""."", ""es"": "".""}",3,34,0,2018-06-13 05:04:04.0,2020-11-16 12:56:09.0
48,"{""en"": ""Representation Information"", ""es"": ""Información de Representaciones""}","{""en"": ""Music manager "", ""es"": ""Manejador musical""}",3,35,0,2018-06-13 16:57:48.0,2020-11-16 12:56:07.0
49,"{""en"": ""Orchestra Information"", ""es"": ""Información de Orquesta""}","{""en"": ""."", ""es"": "".""}",3,36,1,2018-06-13 17:27:03.0,2020-11-10 20:15:24.0
50,"{""en"": ""Musical Composition Information"", ""es"": ""Información de Composición Musical""}","{""en"": ""."", ""es"": "".""}",3,37,1,2018-06-13 17:35:10.0,2020-11-10 20:16:31.0
51,"{""en"": ""Trombone Information"", ""es"": ""Información de Trombón""}","{""en"": ""."", ""es"": "".""}",3,38,1,2018-06-13 17:41:59.0,2018-09-27 19:39:08.0
52,"{""en"": ""emtpy"", ""es"": ""vacio""}","{""en"": ""."", ""es"": "".""}",3,39,0,2018-06-13 17:49:10.0,2018-10-12 16:20:00.0
53,"{""en"": ""DJ Information "", ""es"": ""Información de DJ""}","{""en"": ""."", ""es"": "".""}",3,40,1,2018-06-13 18:00:47.0,2020-11-10 20:19:11.0
54,"{""en"": ""Guitarist Information"", ""es"": ""Información de Guitarrista""}","{""en"": ""."", ""es"": "".""}",3,41,0,2018-06-13 18:04:09.0,2020-11-16 13:13:21.0
55,"{""en"": ""Violinist Information"", ""es"": ""Información de Violinista""}","{""en"": ""."", ""es"": "".""}",3,42,0,2018-06-13 18:09:23.0,2020-11-16 13:14:26.0
56,"{""en"": ""Representatives Information"", ""es"": ""Información de Representantes""}","{""en"": ""Musicians"", ""es"": ""Músicos""}",3,43,1,2018-06-13 18:17:49.0,2020-11-16 13:17:20.0
57,"{""en"": ""Drummer Information"", ""es"": ""Información de Baterista""}","{""en"": ""."", ""es"": "".""}",3,44,0,2018-06-13 18:21:25.0,2020-11-10 20:19:43.0
58,"{""en"": ""Percussion Instruments"", ""es"": ""Instrumentos de Percusión""}","{""en"": ""."", ""es"": "".""}",3,45,0,2018-06-13 18:24:52.0,2020-11-16 13:17:55.0
59,"{""en"": ""Piano Information"", ""es"": ""Información de Piano""}","{""en"": ""."", ""es"": "".""}",3,46,0,2018-06-13 18:31:54.0,2020-11-16 13:17:56.0
