module_skill_id,module_skill_key,module_id,skill_id,order_no,status,created_at,updated_at
5,2fe6fd8a197370b9716cdc8f532f023a,6,52,0,1,2017-11-23 14:14:00.0,2017-12-08 19:09:43.0
9,c62bd2901b94e450781a8bb41ca5999e,6,85,0,0,2017-11-28 13:19:13.0,2017-12-02 14:15:36.0
10,ba9c46ded25b2c11ca052a7f35fa8a11,6,45,0,0,2017-11-28 13:19:13.0,2017-12-02 14:15:36.0
11,e3a88bd7a76004b3cceb467dde872290,6,77,0,0,2017-11-28 13:19:13.0,2017-12-02 14:15:36.0
12,49dd8ede9b1c4256394a483bf04ea583,6,171,0,0,2017-11-28 13:19:13.0,2017-12-02 14:15:36.0
13,2cf49b5c660b06a1368130b90a71254d,6,21,0,0,2017-11-28 13:19:13.0,2017-12-02 14:15:36.0
18,e72fb0a3ddcf039a842410cffa0cc627,8,52,0,1,2017-12-03 21:43:31.0,2017-12-04 14:20:03.0
19,290f80e0269f0f57b3cf5a0a3f4e7755,8,1,0,1,2017-12-07 15:36:01.0,2017-12-07 15:36:01.0
20,cb854af69ff9ee89e156588b1047cf9d,8,5,0,1,2017-12-07 15:36:01.0,2017-12-07 15:36:01.0
21,25a2f0d9fbfbc34c5ae0d537947b075d,8,54,0,1,2017-12-07 15:36:01.0,2017-12-07 15:36:01.0
22,3bfd99a47ffd618932ebacc16d337c5f,8,62,0,1,2017-12-07 15:36:01.0,2017-12-07 15:36:01.0
23,876e07dab2e242fef44c912b644d1d85,8,85,0,1,2017-12-08 14:21:51.0,2018-04-12 16:53:22.0
24,09ae9e80b7bba241f50c48859e7fc4e1,9,1,0,1,2017-12-08 16:52:11.0,2017-12-08 16:52:11.0
25,6dba3dfe98d768604b49744154187b64,9,5,0,1,2017-12-08 16:52:11.0,2017-12-08 16:52:11.0
26,cf1d4ef43ee89d9da0e124b15801ab55,9,52,0,1,2017-12-08 16:52:11.0,2017-12-08 16:52:11.0
27,f1b5591d5c48da25b769f8c1d61e664d,9,54,0,1,2017-12-08 16:52:11.0,2017-12-08 16:52:11.0
28,93f9d7105d495eb8cb920142b3589bd6,9,62,0,1,2017-12-08 16:52:11.0,2017-12-08 16:52:11.0
29,ad5406e7ed9fee35e0934f6653c87638,6,1,0,1,2017-12-08 19:09:43.0,2017-12-08 19:09:43.0
30,66df4e3a9919139a42c46153123b5d91,6,5,0,1,2017-12-08 19:09:43.0,2017-12-08 19:09:43.0
31,faa2691b14e2c8615654ccf05b8452c4,6,54,0,1,2017-12-08 19:09:43.0,2017-12-08 19:09:43.0
32,8b1ae2f277e49ef99192a2ffaf324f90,6,62,0,1,2017-12-08 19:09:43.0,2017-12-08 19:09:43.0
35,eb64cfac95a23f4a321eeff83c9764c6,10,1,0,1,2017-12-08 19:44:48.0,2017-12-08 19:44:48.0
36,e6009be8a87a10ee8d6321536a8878e4,10,5,0,1,2017-12-08 19:44:48.0,2017-12-08 19:44:48.0
37,c11986b132988225a39c00fa48807917,10,52,0,1,2017-12-08 19:44:48.0,2017-12-08 19:44:48.0
38,1095af99910a2dcc1493bcd2f8d16667,10,54,0,1,2017-12-08 19:44:48.0,2017-12-08 19:44:48.0
39,abf8277e3fb3263eb683b200e8fbab18,10,62,0,1,2017-12-08 19:44:48.0,2017-12-08 19:44:48.0
40,afdf90cdeeaeedee297a78f8be1d9ce4,6,4,0,1,2017-12-13 14:27:03.0,2017-12-13 14:27:03.0
41,96900c0d7fb31a09e4cdd681e72ac228,6,83,0,0,2017-12-13 14:27:03.0,2017-12-13 14:27:49.0
42,5c53cafe05f2807e70dada5302183a6e,6,84,0,0,2017-12-13 14:27:03.0,2017-12-13 14:27:49.0
43,d75d7154c36a0319a367521890ae2764,6,87,0,0,2017-12-13 14:27:03.0,2017-12-13 14:27:49.0
44,f4cdd0424b6322952c19e639c57ec77c,6,88,0,0,2017-12-13 14:27:03.0,2017-12-13 14:27:49.0
45,ad9857b53a28c78d8a06b5331b6b7f73,6,89,0,0,2017-12-13 14:27:03.0,2017-12-13 14:27:49.0
46,c98cfba83f4b0ea7f319ba66f0f6d5dd,6,90,0,0,2017-12-13 14:27:03.0,2017-12-13 14:27:49.0
47,e9711c941670c0c5ad700eaf365bcdc3,6,91,0,0,2017-12-13 14:27:03.0,2017-12-13 14:27:49.0
48,aff356f93a678cceba41ea28f3e1df51,6,92,0,0,2017-12-13 14:27:03.0,2017-12-13 14:27:49.0
49,3dc0f8ecfbc637450b08d8150c8b0b7c,6,93,0,0,2017-12-13 14:27:03.0,2017-12-13 14:27:49.0
50,09a51c1948b485e48de0f9d956159154,6,94,0,0,2017-12-13 14:27:03.0,2017-12-13 14:27:49.0
51,83140b7cfd221df33289d90b319376b8,8,4,0,1,2017-12-13 14:28:50.0,2017-12-13 14:28:50.0
52,4ba635ddb239324eef52bfdfcd44fd47,8,83,0,1,2017-12-13 14:28:50.0,2017-12-13 14:28:50.0
53,45d06d436964f626da6c6d1b00c53bc5,8,84,0,1,2017-12-13 14:28:50.0,2017-12-13 14:28:50.0
54,5a0f03df9c2cf10dc6b43fa058cf25d1,8,87,0,1,2017-12-13 14:28:50.0,2017-12-13 14:28:50.0
55,607524328ec7e169dee7874e54e02121,8,88,0,1,2017-12-13 14:28:50.0,2017-12-13 14:28:50.0
56,c67fe68fb57df36a825c2f76d02f205b,8,89,0,1,2017-12-13 14:28:50.0,2017-12-13 14:28:50.0
57,401c6c46be30bc29346587402d4cce0c,8,90,0,1,2017-12-13 14:28:50.0,2017-12-13 14:28:50.0
58,44b3aad32da617b91c08a0e2186f4ae4,8,91,0,1,2017-12-13 14:28:50.0,2017-12-13 14:28:50.0
59,f37c130e708db5eae38300592fe9fbaf,8,92,0,1,2017-12-13 14:28:50.0,2017-12-13 14:28:50.0
60,8ef85ee9e0ce0aa56e039a371f6924af,8,93,0,1,2017-12-13 14:28:50.0,2017-12-13 14:28:50.0
61,d18868b6a75eafbee44ae421c3219b3f,8,94,0,1,2017-12-13 14:28:50.0,2017-12-13 14:28:50.0
62,af4cf50324a2efdb940f3ddb743217d1,11,79,0,1,2018-01-14 21:33:11.0,2018-09-27 19:33:43.0
63,4f21e3bdc7c873e031a6b2598f27ced2,11,80,0,1,2018-01-14 21:33:11.0,2018-09-27 19:33:43.0
64,11b56a01f9ed71040905e8a6e6f25d0b,11,81,0,0,2018-01-14 21:33:11.0,2018-01-14 21:33:29.0
65,98284de7c79ca1ed8560de43dfe5e5ff,11,86,0,0,2018-01-14 21:33:11.0,2018-09-27 19:33:58.0
66,9fee4f3fd4c7d70f71d3ff35448148ca,11,105,0,0,2018-01-14 21:33:11.0,2018-09-27 19:33:58.0
67,c0da01999acc4bad566800f58e2aacc6,11,58,0,1,2018-01-14 21:33:11.0,2018-09-27 19:33:43.0
68,1f849b9d2ac21a36b4cfbf01195fc504,11,78,0,1,2018-01-23 19:13:23.0,2018-09-27 19:33:43.0
69,bcddcace0637a3e19b2db3ccb727cb54,2,218,0,0,2018-04-04 21:44:00.0,2018-04-08 22:18:25.0
70,db39a0c7b494f5257579fd1b896e116a,2,219,0,0,2018-04-04 21:45:33.0,2018-04-08 22:18:25.0
71,e265c9894c514fadd6bb0737f30ec5b4,6,221,0,1,2018-04-04 21:47:38.0,2018-04-04 21:47:38.0
72,b7ab23f65f5dae02e0bcd188f67caf8e,8,79,0,1,2018-04-12 16:53:22.0,2018-04-12 16:53:22.0
73,ff7513bfc56cb30ceb365920ae205750,8,80,0,1,2018-04-12 16:53:22.0,2018-04-12 16:53:22.0
74,216ba399b76de5137ddafaa07060b159,8,81,0,1,2018-04-12 16:53:22.0,2018-04-12 16:53:22.0
75,c57d7b188e2c3fc38ad8f6e04f259ec7,19,227,0,1,2018-04-20 15:32:21.0,2018-04-20 16:15:57.0
76,0e975c0ecca0620131af38e09991a436,17,218,0,1,2018-04-20 16:56:42.0,2018-04-20 16:56:42.0
77,8e67dc9816ba1643019a85f5ac15032b,14,230,0,1,2018-04-20 17:14:40.0,2018-04-20 17:14:40.0
78,10a4881650e8bd8c684548527774f40b,20,98,0,0,2018-04-20 18:53:03.0,2018-09-13 15:21:40.0
79,50b15c20235e01bb10acfd6e06a3407e,20,101,0,0,2018-04-20 18:53:03.0,2018-09-13 15:21:40.0
80,2afc041bd037f18a5dc80dbc4c8751f8,20,242,0,0,2018-04-20 18:53:03.0,2018-09-13 15:21:40.0
81,09b1ca7f0fc45020136a1c698a89bf88,20,236,0,0,2018-04-20 18:53:03.0,2018-09-13 15:21:40.0
82,14b779de654548dfd501a730c032ffd8,20,100,0,0,2018-04-20 19:41:57.0,2018-09-13 15:21:40.0
83,79e81cbb6250530d6cc265d9c81f7c55,20,131,0,0,2018-04-20 19:41:57.0,2018-09-13 15:21:40.0
84,a032eeb22792a71a3311712d7d53f929,20,134,0,0,2018-04-20 19:41:57.0,2018-09-13 15:21:40.0
85,4938a0736f22a7332caefea4ab2575f7,20,135,0,0,2018-04-20 19:41:57.0,2018-09-13 15:21:40.0
86,333ceb7719e1c0ca66decfd8305adc07,20,137,0,0,2018-04-20 19:41:57.0,2018-09-13 15:21:40.0
87,22507e54f14859d047965cf649d9addf,20,138,0,0,2018-04-20 19:41:57.0,2018-09-13 15:21:40.0
88,cd253a42fc9cfcdebf297c4f478e40d3,20,139,0,0,2018-04-20 19:41:57.0,2018-09-13 15:21:40.0
89,27a7923a39bfabbc250c7eea19f9ecf7,21,482,0,0,2018-04-25 20:26:54.0,2018-09-27 15:50:40.0
90,9998fcc4ab3b33d9d901a2e18d45039d,9,6,0,1,2018-06-11 19:26:38.0,2018-06-11 19:26:38.0
91,166b98291a1c3feb51b5a759ffb30d6c,9,79,0,1,2018-06-11 19:26:38.0,2018-06-11 19:26:38.0
92,de37d458f2563a2b84cc1a009ee5dfa5,9,80,0,1,2018-06-11 19:26:38.0,2018-06-11 19:26:38.0
93,e144f2aa177fec463f50e7aefc22e5fa,9,526,0,1,2018-06-11 19:26:38.0,2018-06-11 19:26:38.0
94,9bdfdae86f8f5988554d316e542ae881,9,527,0,1,2018-06-11 19:26:38.0,2018-06-11 19:26:38.0
95,e736dea52ac0c5c41891c4d70dca90dd,9,209,0,1,2018-06-11 19:26:38.0,2018-06-11 19:26:38.0
96,aea2b447721d962399e692ac307153a4,9,482,0,1,2018-06-11 19:26:38.0,2018-06-11 19:26:38.0
97,0b541d0290bd5814e6a3b2ac9ccb1aa3,9,483,0,1,2018-06-11 19:26:39.0,2018-06-11 19:26:39.0
98,c4870f14618e31a963cc1a592c525377,9,484,0,1,2018-06-11 19:26:39.0,2018-06-11 19:26:39.0
99,f811257d6d6ebeea61ef371301c46000,9,485,0,1,2018-06-11 19:26:39.0,2018-06-11 19:26:39.0
100,41785ccb6f887d6878b84bf67c8eea0d,9,486,0,1,2018-06-11 19:26:39.0,2018-06-11 19:26:39.0
101,c727bca37c246a3becfc321abe674f4d,9,487,0,1,2018-06-11 19:26:39.0,2018-06-11 19:26:39.0
102,7633a4079b1916511ad3686c3827b742,9,488,0,1,2018-06-11 19:26:39.0,2018-06-11 19:26:39.0
103,2957090b089630e7bc7e02e3b24d601c,9,489,0,1,2018-06-11 19:26:39.0,2018-06-11 19:26:39.0
104,5ce81339f779c1c365209423d7d34980,9,490,0,1,2018-06-11 19:26:39.0,2018-06-11 19:26:39.0
105,7142dec3539f8b3efdfc752ee5414037,9,491,0,1,2018-06-11 19:26:39.0,2018-06-11 19:26:39.0
106,51defe72b42b3e2cc62324b579373ffb,9,492,0,1,2018-06-11 19:26:39.0,2018-06-11 19:26:39.0
107,c639ff70b7c6e2c1173240334ac58ace,9,493,0,1,2018-06-11 19:26:39.0,2018-06-11 19:26:39.0
108,ab96643beca87efc334d3a9eaf05f31b,9,494,0,1,2018-06-11 19:26:39.0,2018-06-11 19:26:39.0
109,2ad26509d9f6019409028623d5d438ee,9,495,0,1,2018-06-11 19:26:39.0,2018-06-11 19:26:39.0
110,a0f5f10750634b452fa6601b1648f7fc,9,496,0,1,2018-06-11 19:26:39.0,2018-06-11 19:26:39.0
111,97de47e791bcc043247ccb8851f4927e,9,498,0,1,2018-06-11 19:26:39.0,2018-06-11 19:26:39.0
112,0b323d7167181c2c606b61bebac3d713,6,79,0,1,2018-06-11 19:39:27.0,2018-06-11 19:39:27.0
113,f19581fc82f319a57a0495fceb64b436,6,80,0,1,2018-06-11 19:39:27.0,2018-06-11 19:39:27.0
114,8e9c61ae372b19018770c011b3330531,6,526,0,1,2018-06-11 19:39:27.0,2018-06-11 19:39:27.0
115,bd7b75e1079a9281e1a0462deab5ac38,6,527,0,1,2018-06-11 19:39:27.0,2018-06-11 19:39:27.0
116,6711c1b7a6212f9b1cb0aa1bec7c0a9c,6,209,0,1,2018-06-11 19:39:27.0,2018-06-11 19:39:27.0
117,3db8b3e6e5263257bcba75ee4816c408,6,482,0,1,2018-06-11 19:39:27.0,2018-06-11 19:39:27.0
118,ff615e3feb3de49b9e60d2a56d1b66ea,6,483,0,1,2018-06-11 19:39:27.0,2018-06-11 19:39:27.0
119,bc5686b83ed72c33a17fcf8f20d95cfa,6,484,0,1,2018-06-11 19:39:27.0,2018-06-11 19:39:27.0
