place_types_id,place_types,created_at,updated_at
1,accounting,2017-08-24 12:11:49.0,2017-08-24 12:11:49.0
2,airport,2017-08-24 12:11:49.0,2017-08-24 12:11:49.0
3,amusement_park,2017-08-24 12:11:49.0,2017-08-24 12:11:49.0
4,aquarium,2017-08-24 12:11:49.0,2017-08-24 12:11:49.0
5,art_gallery,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
6,atm,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
7,bakery,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
8,bank,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
9,bar,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
10,beauty_salon,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
11,bicycle_store,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
12,book_store,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
13,bowling_alley,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
14,bus_station,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
15,cafe,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
16,campground,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
17,car_dealer,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
18,car_rental,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
19,car_repair,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
20,car_wash,2017-08-24 12:11:50.0,2017-08-24 12:11:50.0
21,casino,2017-08-24 12:11:51.0,2017-08-24 12:11:51.0
22,cemetery,2017-08-24 12:11:51.0,2017-08-24 12:11:51.0
23,church,2017-08-24 12:11:51.0,2017-08-24 12:11:51.0
24,city_hall,2017-08-24 12:11:51.0,2017-08-24 12:11:51.0
25,clothing_store,2017-08-24 12:11:51.0,2017-08-24 12:11:51.0
26,convenience_store,2017-08-24 12:11:51.0,2017-08-24 12:11:51.0
27,courthouse,2017-08-24 12:11:51.0,2017-08-24 12:11:51.0
28,dentist,2017-08-24 12:11:51.0,2017-08-24 12:11:51.0
29,department_store,2017-08-24 12:11:51.0,2017-08-24 12:11:51.0
30,doctor,2017-08-24 12:11:51.0,2017-08-24 12:11:51.0
31,electrician,2017-08-24 12:11:51.0,2017-08-24 12:11:51.0
32,electronics_store,2017-08-24 12:11:51.0,2017-08-24 12:11:51.0
33,embassy,2017-08-24 12:11:51.0,2017-08-24 12:11:51.0
34,fire_station,2017-08-24 12:11:51.0,2017-08-24 12:11:51.0
35,florist,2017-08-24 12:11:52.0,2017-08-24 12:11:52.0
36,funeral_home,2017-08-24 12:11:52.0,2017-08-24 12:11:52.0
37,furniture_store,2017-08-24 12:11:52.0,2017-08-24 12:11:52.0
38,gas_station,2017-08-24 12:11:52.0,2017-08-24 12:11:52.0
39,gym,2017-08-24 12:11:52.0,2017-08-24 12:11:52.0
40,hair_care,2017-08-24 12:11:52.0,2017-08-24 12:11:52.0
41,hardware_store,2017-08-24 12:11:52.0,2017-08-24 12:11:52.0
42,hindu_temple,2017-08-24 12:11:52.0,2017-08-24 12:11:52.0
43,home_goods_store,2017-08-24 12:11:52.0,2017-08-24 12:11:52.0
44,hospital,2017-08-24 12:11:52.0,2017-08-24 12:11:52.0
45,insurance_agency,2017-08-24 12:11:52.0,2017-08-24 12:11:52.0
46,jewelry_store,2017-08-24 12:11:52.0,2017-08-24 12:11:52.0
47,laundry,2017-08-24 12:11:52.0,2017-08-24 12:11:52.0
48,lawyer,2017-08-24 12:11:53.0,2017-08-24 12:11:53.0
49,library,2017-08-24 12:11:53.0,2017-08-24 12:11:53.0
50,liquor_store,2017-08-24 12:11:53.0,2017-08-24 12:11:53.0
51,local_government_office,2017-08-24 12:11:53.0,2017-08-24 12:11:53.0
52,locksmith,2017-08-24 12:11:53.0,2017-08-24 12:11:53.0
53,lodging,2017-08-24 12:11:53.0,2017-08-24 12:11:53.0
54,meal_delivery,2017-08-24 12:11:53.0,2017-08-24 12:11:53.0
55,meal_takeaway,2017-08-24 12:11:53.0,2017-08-24 12:11:53.0
56,mosque,2017-08-24 12:11:53.0,2017-08-24 12:11:53.0
57,movie_rental,2017-08-24 12:11:53.0,2017-08-24 12:11:53.0
58,movie_theater,2017-08-24 12:11:53.0,2017-08-24 12:11:53.0
59,moving_company,2017-08-24 12:11:53.0,2017-08-24 12:11:53.0
60,museum,2017-08-24 12:11:53.0,2017-08-24 12:11:53.0
61,night_club,2017-08-24 12:11:53.0,2017-08-24 12:11:53.0
62,painter,2017-08-24 12:11:53.0,2017-08-24 12:11:53.0
63,park,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
64,parking,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
65,pet_store,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
66,pharmacy,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
67,physiotherapist,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
68,plumber,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
69,police,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
70,post_office,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
71,real_estate_agency,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
72,restaurant,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
73,roofing_contractor,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
74,rv_park,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
75,school,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
76,shoe_store,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
77,shopping_mall,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
78,spa,2017-08-24 12:11:54.0,2017-08-24 12:11:54.0
79,stadium,2017-08-24 12:11:55.0,2017-08-24 12:11:55.0
80,storage,2017-08-24 12:11:55.0,2017-08-24 12:11:55.0
81,store,2017-08-24 12:11:55.0,2017-08-24 12:11:55.0
82,subway_station,2017-08-24 12:11:55.0,2017-08-24 12:11:55.0
83,synagogue,2017-08-24 12:11:55.0,2017-08-24 12:11:55.0
84,taxi_stand,2017-08-24 12:11:55.0,2017-08-24 12:11:55.0
85,train_station,2017-08-24 12:11:55.0,2017-08-24 12:11:55.0
86,transit_station,2017-08-24 12:11:55.0,2017-08-24 12:11:55.0
87,travel_agency,2017-08-24 12:11:55.0,2017-08-24 12:11:55.0
88,university,2017-08-24 12:11:55.0,2017-08-24 12:11:55.0
89,veterinary_care,2017-08-24 12:11:55.0,2017-08-24 12:11:55.0
90,zoo,2017-08-24 12:11:55.0,2017-08-24 12:11:55.0
