skills_id,skills_key,linked_type,title,level,order_no,status,user_id,lifework_id,is_custom,created_at,updated_at
1,dcc020304273f1068caaa14ee77d7276,3,"{""en"": ""Fitness model"", ""es"": ""Modelo de fitness""}","{""en"": {""1"": "" Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",514,1,0,0,0,2017-09-20 06:19:48.0,2018-09-27 16:41:27.0
4,5536a8710fa201f1476bed1203302648,3,"{""en"": ""Miss"", ""es"": ""Miss""}","{""en"": {""1"": "" Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",515,1,0,0,0,2017-11-14 15:45:39.0,2018-09-27 16:41:27.0
5,929d5c6d050d808f44af2b0158725c6d,3,"{""en"": ""Bodybuilding"", ""es"": ""Culturismo""}","{""en"": {""1"": "" Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",518,1,0,0,0,2017-11-14 15:47:14.0,2018-09-27 16:41:28.0
6,cdd5c587c63ae847c162095d1ce22524,3,"{""en"": ""Mister"", ""es"": ""Mister""}","{""en"": {""1"": "" Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",516,1,0,0,0,2017-11-14 15:51:35.0,2018-09-27 16:41:27.0
7,cf9ec399f716c7269a5f6f962d9d50d7,3,"{""en"": ""Hairdresser"", ""es"": ""Peluquero(a)""}","{""en"": {""1"": "" Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",517,1,0,0,0,2017-11-14 16:24:38.0,2018-09-27 16:41:27.0
8,57009dcb4c34c764415791b7e9c97ff4,3,"{""en"": ""Barber"", ""es"": ""Barbero""}","{""en"": {""1"": "" Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",519,1,0,0,0,2017-11-14 16:24:58.0,2018-09-27 16:41:28.0
9,2d3c617f3e642dd7dacefbbdb54920d7,3,"{""en"": ""Wig expert"", ""es"": ""Experto en pelucas""}","{""en"": {""1"": "" Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",520,1,0,0,0,2017-11-14 16:25:47.0,2018-09-27 16:41:28.0
10,3422872ad0fc9b294cd4b1f8d0407899,3,"{""en"": ""Reservations"", ""es"": ""Reservas""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",521,0,0,0,0,2017-11-14 16:26:56.0,2018-09-27 16:41:28.0
11,51276149f23daf4361dc6a21ed5083bf,3,"{""en"": ""Aesthetician"", ""es"": ""Esteticista""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8+ años)""}}",522,1,0,0,0,2017-11-14 16:27:23.0,2018-09-27 16:41:28.0
13,b8221e01ed92bf7b6d10f38dba33867a,3,"{""en"": ""Receptionist"", ""es"": ""Recepcionista""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",523,1,0,0,0,2017-11-14 16:28:10.0,2018-09-27 16:41:28.0
