id,title,subtitle,is_published,deleted_at,created_at,updated_at
1,Basic Description,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
2,Sizes,Female sizes,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
3,Physique,Select the correct measurement,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
4,Costume sizes,Male sizes,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
5,Modeling types & Specialities,Select one or more option,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
6,Vocal Characteristics,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
7,Additional Information,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
8,Unique Traits,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
9,Aerial Photography Information,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
10,Musical Details,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
11,Artistic Information,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
12,Events Photography,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
13,Additional Information,"Business, Company",1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
14,Architectural Photography,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
15,Filmmaking Experience,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
16,Flexibility Exercises,Yoga,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
17,Pageant Coach Information,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
18,Representatives Information,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
19,Hairdressing Information,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
20,Barber Information,Barber Information,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
21,Wig Information,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
22,Aestheticism Information,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
23,Hair Coloring Information,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
24,Makeup Information,Makeup artist information,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
25,Manicure/Pedicure Information,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
26,Hair Removal Information,,1,,2019-05-15 22:09:20.0,2019-05-15 22:09:20.0
