occupation_id,type,parent_id,occupation_name,icon,occu_desc,created_at,updated_at
1,0,0,"{""en"": ""Beauty & Fashion"", ""es"": ""Belleza & Moda""}",fashion.png,"{""en"": ""(Click here to view options)"", ""es"": ""(Presione aquí para ver opciones)""}",0000-00-00 00:00:00,2017-11-27 15:07:00.0
2,0,0,"{""en"": ""Music & Dance"", ""es"": ""Música & Baile""}",music.png,"{""en"": ""(Click here to view options)"", ""es"": ""(Presione aquí para ver opciones)""}",0000-00-00 00:00:00,2017-11-27 14:56:17.0
3,0,0,"{""en"": ""Film, T.V. & Ent."", ""es"": ""Cine, T.V. & Ent.""}",film-and-entertainment.png,"{""en"": ""(Click here to view options)"", ""es"": ""(Presione aquí para ver opciones)""}",0000-00-00 00:00:00,2017-11-15 15:49:55.0
4,0,0,"{""en"": ""Recreations & Sports"", ""es"": ""Deportes & Recreacón""}",sports.png,"{""en"": ""(Click here to view options)"", ""es"": ""(Presione aquí para ver opciones)""}",0000-00-00 00:00:00,2017-11-15 15:54:56.0
5,0,0,"{""en"": ""Other Arts"", ""es"": ""Otras Artes""}",artist.png,"{""en"": ""(Click here to view options)"", ""es"": ""(Presione aquí para ver opciones)""}",0000-00-00 00:00:00,2017-11-13 17:52:05.0
6,0,0,"{""en"": ""Foods & Drinks"", ""es"": ""Alimentos & Bebidas""}",food-and-drink.png,"{""en"": ""(Click here to view options)"", ""es"": ""(Presione aquí para ver opciones)""}",0000-00-00 00:00:00,2017-11-27 14:59:58.0
7,0,0,"{""en"": ""Education"", ""es"": ""Educación""}",education.png,"{""en"": ""(Click here to view options)"", ""es"": ""(Presione aquí para ver opciones)""}",0000-00-00 00:00:00,2017-11-13 17:51:49.0
8,0,0,"{""en"": ""Business & Techology"", ""es"": ""Negocios & Tecnología ""}",it.png,"{""en"": ""(Click here to view options)"", ""es"": ""(Presione aquí para ver opciones)""}",0000-00-00 00:00:00,2017-11-15 20:49:33.0
11,0,1,"{""en"": ""Beauty Pageant"", ""es"": ""Concurso de Belleza""}","","{""en"": ""."", ""es"": "".""}",2017-09-21 13:46:15.0,2018-04-19 20:29:26.0
14,0,2,"{""en"": ""Music Production"", ""es"": ""Producción Musical""}","","{""en"": ""Musical producer"", ""es"": ""Productor musical""}",2017-09-21 13:47:58.0,2018-04-19 20:30:20.0
15,0,2,"{""en"": ""Musical Composition"", ""es"": ""Composición Musical""}","","{""en"": ""composition"", ""es"": ""Composición""}",2017-09-21 13:48:19.0,2018-04-19 20:30:05.0
16,0,2,"{""en"": ""Musician"", ""es"": ""Músico""}","","{""en"": ""Musician"", ""es"": ""Músico""}",2017-09-21 13:48:41.0,2017-11-13 17:31:30.0
17,0,2,"{""en"": ""Dancing"", ""es"": ""Baile""}","","{""en"": ""Dancer"", ""es"": ""Bailarín / Bailarina""}",2017-09-21 13:49:01.0,2017-11-15 14:55:13.0
18,0,2,"{""en"": ""Singer"", ""es"": ""Cantante""}","","{""en"": ""Singer"", ""es"": ""Cantante""}",2017-09-21 13:49:18.0,2018-01-19 20:37:03.0
19,0,3,"{""en"": ""Radio"", ""es"": ""Radio""}","","{""en"": ""."", ""es"": "".""}",2017-09-21 13:49:45.0,2017-11-15 15:36:26.0
20,0,3,"{""en"": ""Acting"", ""es"": ""Actuación""}","","{""en"": ""."", ""es"": "".""}",2017-09-21 13:50:08.0,2017-11-15 14:51:56.0
21,0,3,"{""en"": ""Filmmaking"", ""es"": ""Rodaje Cinematográfico""}","","{""en"": ""Include story, idea, or commission, through screenwriting, casting, shooting, sound recording and reproduction, editing and screening"", ""es"": ""Se lleva a cabo a partir de un guión, el reparto, el rodaje, la grabación del sonido y la reproducción, edición, y proyección del resultado final ante una audiencia que puede desencadenar en un estreno y exhibición de la película.""}",2017-09-21 13:50:35.0,2018-04-18 14:47:39.0
23,0,3,"{""en"": ""Events & Promotions"", ""es"": ""Eventos y Promociones""}","","{""en"": ""events"", ""es"": ""events""}",2017-09-21 13:51:16.0,2018-09-27 16:27:52.0
24,0,3,"{""en"": ""Speaker"", ""es"": ""Oratoria""}","","{""en"": ""Politic speaker, public speaker"", ""es"": ""Politico, orador profesional.""}",2017-09-21 13:51:38.0,2017-11-15 15:35:27.0
25,0,3,"{""en"": ""Photography"", ""es"": ""Fotografía""}","","{""en"": ""."", ""es"": "".""}",2017-09-21 13:52:11.0,2017-11-15 14:53:02.0
