occupation_linked_id,occupation_id,linked_id,created_at,updated_at
1,94,40,2017-11-28 13:26:54.0,2017-11-28 13:26:54.0
2,94,42,2017-11-28 13:26:54.0,2017-11-28 13:26:54.0
4,89,11,2017-11-28 13:27:47.0,2017-11-28 13:27:47.0
5,89,40,2017-11-28 13:27:47.0,2017-11-28 13:27:47.0
6,89,42,2017-11-28 13:27:47.0,2017-11-28 13:27:47.0
7,89,43,2017-11-28 13:27:47.0,2017-11-28 13:27:47.0
8,89,44,2017-11-28 13:27:47.0,2017-11-28 13:27:47.0
9,96,44,2017-11-28 14:33:23.0,2017-11-28 14:33:23.0
10,96,97,2017-11-28 14:33:23.0,2017-11-28 14:33:23.0
11,96,31,2017-11-28 14:33:23.0,2017-11-28 14:33:23.0
12,94,95,2017-11-28 14:34:07.0,2017-11-28 14:34:07.0
13,93,95,2017-11-28 14:36:40.0,2017-11-28 14:36:40.0
14,92,95,2017-11-28 14:37:11.0,2017-11-28 14:37:11.0
15,90,97,2017-11-28 14:38:13.0,2017-11-28 14:38:13.0
16,90,51,2017-11-28 14:38:13.0,2017-11-28 14:38:13.0
17,90,52,2017-11-28 14:38:13.0,2017-11-28 14:38:13.0
18,90,95,2017-11-28 14:38:13.0,2017-11-28 14:38:13.0
19,90,44,2017-11-28 14:42:07.0,2017-11-28 14:42:07.0
20,90,31,2017-11-28 14:42:07.0,2017-11-28 14:42:07.0
21,90,46,2017-11-28 14:42:07.0,2017-11-28 14:42:07.0
22,90,47,2017-11-28 14:42:07.0,2017-11-28 14:42:07.0
23,89,31,2017-11-28 14:42:29.0,2017-11-28 14:42:29.0
24,89,51,2017-11-28 14:42:29.0,2017-11-28 14:42:29.0
25,89,52,2017-11-28 14:42:29.0,2017-11-28 14:42:29.0
26,89,95,2017-11-28 14:42:29.0,2017-11-28 14:42:29.0
27,88,49,2017-11-28 14:42:49.0,2017-11-28 14:42:49.0
28,86,49,2017-11-28 14:43:37.0,2017-11-28 14:43:37.0
29,86,50,2017-11-28 14:43:37.0,2017-11-28 14:43:37.0
30,85,49,2017-11-28 14:43:52.0,2017-11-28 14:43:52.0
31,85,50,2017-11-28 14:43:52.0,2017-11-28 14:43:52.0
32,84,49,2017-11-28 14:44:31.0,2017-11-28 14:44:31.0
33,84,50,2017-11-28 14:44:31.0,2017-11-28 14:44:31.0
34,83,49,2017-11-28 14:44:44.0,2017-11-28 14:44:44.0
35,83,50,2017-11-28 14:44:44.0,2017-11-28 14:44:44.0
36,82,49,2017-11-28 14:45:08.0,2017-11-28 14:45:08.0
37,82,50,2017-11-28 14:45:08.0,2017-11-28 14:45:08.0
38,81,33,2017-11-28 14:45:30.0,2017-11-28 14:45:30.0
39,81,47,2017-11-28 14:45:30.0,2017-11-28 14:45:30.0
40,80,31,2017-11-28 14:46:07.0,2017-11-28 14:46:07.0
41,80,32,2017-11-28 14:46:07.0,2017-11-28 14:46:07.0
42,80,33,2017-11-28 14:46:07.0,2017-11-28 14:46:07.0
43,80,46,2017-11-28 14:46:07.0,2017-11-28 14:46:07.0
44,80,47,2017-11-28 14:46:07.0,2017-11-28 14:46:07.0
45,80,48,2017-11-28 14:46:07.0,2017-11-28 14:46:07.0
