id,name,is_custom,is_published,user_id,deleted_at,created_at,updated_at
1,Fitness model,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
2,Miss,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
3,Bodybuilding,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
4,Mister,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
5,Hairdresser,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
6,Barber,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
7,Wig expert,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
8,Reservations,0,0,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
9,Aesthetician,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
10,Receptionist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
11,Hair colorist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
12,Makeup artist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
13,Manicurist/Pedicurist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
14,Telephone,0,0,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
15,Housekeeper,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
16,Hair removal,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
17,Fashion designer,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
18,Jewelry designer,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
19,Dressmaker / seamstress,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
20,Fashion adviser,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
21,Security Agent,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
22,Catalog stylist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
23,Visual stylist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
24,Personal stylist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
25,Photoshoot coordinator,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
26,Minor events planner,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
27,Purchases & storage,0,0,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
28,Web developer,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
29,Product stylist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
30,Trend coordinator,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
31,Image adviser,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
32,Arranger,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
33,Sound engenieer,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
34,Conductor,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
35,Music manager,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
36,Chorister,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
37,Guitarist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
38,Violinist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
39,Drummer,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
40,Bass guitarist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
41,Percussionist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
42,Pianist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
43,Saxophonist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
44,Flutist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
45,Trumpeter,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
46,Trombonist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
47,Tattoo artist,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
48,Fashion model,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
49,DJ,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
50,Commercial model,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
51,Swimsuit & lingerie model,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
52,Comedian,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
53,Child model,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
54,Fit models,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
55,Parts Model,0,1,1,,2019-05-15 22:09:11.0,2019-05-15 22:09:11.0
56,Promotional model,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
57,Creative writer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
58,Orchestrator,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
59,Performative writer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
60,Musical composer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
61,Songwriter,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
62,Music producer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
63,Record producer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
64,Mastering engineer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
65,Music editor,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
66,Concertmaster,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
67,Artists and repertoire (A&R),0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
68,Announcer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
69,Voice-over,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
70,Presenter,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
71,Voice-actor/actress,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
72,Screen actor/actress,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
73,Stage actor/actress,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
74,Customer service,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
75,Narrator,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
76,Ballet dancer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
77,Acrobatic dancer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
78,Choreographer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
79,Movement director,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
80,Stage combat,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
81,Indian classical dancer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
82,Belly dancer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
83,Street dancer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
84,Contemporary dancer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
85,Jazz dancer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
86,Tap dancer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
87,Classical Persian dancer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
88,Perfumist,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
89,Solo singer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
90,Film Director,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
91,Film producer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
92,Assistant producer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
93,Production manager,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
94,Production coordinator,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
95,Assistant director,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
96,Location manager,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
97,Script supervisor,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
98,Casting director,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
99,Director of photography,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
100,Camera operator,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
101,1st assistant camera,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
102,2nd assistant camera,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
103,Stabilizer operator,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
104,Motion capture,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
105,Gaffer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
106,Best boy,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
107,Key grip,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
108,Dolly grip,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
109,Sound director,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
110,Sound designer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
111,Sound editor,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
112,Foley,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
113,Boom operator,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
114,Production designer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
115,Art director,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
116,Set designer,0,1,1,,2019-05-15 22:09:12.0,2019-05-15 22:09:12.0
